#TYPE AzureService
"ProviderNamespace","ProviderName","Description"
"Microsoft Resources","Microsoft.Resources",""
"Microsoft SAP HANA on Azure","Microsoft.HanaOnAzure",""
"Microsoft Scheduler","Microsoft.Scheduler",""
"Microsoft Search","Microsoft.Search",""
"Microsoft Security","Microsoft.Security",""
"Microsoft Security Insights","Microsoft.SecurityInsights",""
"Microsoft SecurityDetonationChamber","Microsoft.SecurityDetonation",""
"Microsoft ServiceFabric","Microsoft.ServiceFabric",""
"Microsoft Solutions","Microsoft.Solutions",""
"Microsoft SQL Database","Microsoft.Sql",""
"Microsoft Storage","Microsoft.Storage",""
"Microsoft Storage Pool","Microsoft.StoragePool",""
"Microsoft StorSimple Device Manager","Microsoft.StorSimple",""
"Microsoft Subscription","Microsoft.Subscription",""
"Microsoft Support","Microsoft.Support",""
"Microsoft Time Series Insights","Microsoft.TimeSeriesInsights",""
"Microsoft Web Apps","microsoft.web",""
"Microsoft.AlertsManagement","Microsoft.AlertsManagement",""
"Microsoft.AppAssessment","Microsoft.AppAssessment",""
"Microsoft.AutonomousSystems","Microsoft.AutonomousSystems",""
"Microsoft.AVS","Microsoft.AVS",""
"Microsoft.AzureArcData","Microsoft.AzureArcData",""
"Microsoft.AzurePercept","Microsoft.AzurePercept",""
"Microsoft.AzureSphere","Microsoft.AzureSphere",""
"Microsoft.AzureStackHCI","Microsoft.AzureStackHCI",""
"Microsoft.BackupSolutions","Microsoft.BackupSolutions",""
"Microsoft.BlockchainTokens","Microsoft.BlockchainTokens",""
"Microsoft.Cdn","Microsoft.Cdn",""
"Microsoft.CodeSigning","Microsoft.CodeSigning",""
"Microsoft.Codespaces","Microsoft.Codespaces",""
"Microsoft.Confluent","Microsoft.Confluent",""
"Microsoft.ConnectedVMwarevSphere","microsoft.connectedvmwarevsphere",""
"Microsoft.Consumption","Microsoft.Consumption",""
"Microsoft.CostManagement","Microsoft.CostManagement",""
"Microsoft.CostManagementExports","Microsoft.CostManagementExports",""
"Microsoft.Dashboard","Microsoft.Dashboard",""
"Microsoft.DataBoxEdge","Microsoft.DataBoxEdge",""
"Microsoft.Datadog","Microsoft.Datadog",""
"Microsoft.DataProtection","Microsoft.DataProtection",""
"Microsoft.DeploymentManager","Microsoft.DeploymentManager",""
"Microsoft.DesktopVirtualization","Microsoft.DesktopVirtualization",""
"Microsoft.DevAI","Microsoft.DevAI",""
"Microsoft.DeviceUpdate","Microsoft.DeviceUpdate",""
"Microsoft.Devops","Microsoft.Devops",""
"Microsoft.Diagnostics","Microsoft.Diagnostics",""
"Microsoft.Elastic","Microsoft.Elastic",""
"Microsoft.ExtendedLocation","Microsoft.ExtendedLocation",""
"Microsoft.Fidalgo","Microsoft.Fidalgo",""
"Microsoft.FluidRelay","Microsoft.FluidRelay",""
"Microsoft.HDInsight","Microsoft.HDInsight",""
"Microsoft.HealthBot","Microsoft.HealthBot",""
"Microsoft.HealthcareApis","Microsoft.HealthcareApis",""
"Microsoft.HybridConnectivity","Microsoft.HybridConnectivity",""
"Microsoft.HybridData","Microsoft.HybridData",""
"Microsoft.HybridNetwork","Microsoft.HybridNetwork",""
"Microsoft.IndustryDataLifecycle","Microsoft.IndustryDataLifecycle",""
"Microsoft.IntelligentITDigitalTwin","Microsoft.IntelligentITDigitalTwin",""
"Microsoft.Kubernetes","Microsoft.Kubernetes",""
"Microsoft.Kusto","Microsoft.Kusto",""
"Microsoft.LoadTestService","Microsoft.LoadTestService",""
"Microsoft.Logz","Microsoft.Logz",""
"Microsoft.Maps","Microsoft.Maps",""
"Microsoft.Migrate","Microsoft.Migrate",""
"Microsoft.MixedReality","Microsoft.MixedReality",""
"Microsoft.MobileNetwork","Microsoft.MobileNetwork",""
"Microsoft.NetApp Resource Provider","Microsoft.NetApp",""
"Microsoft.OffAzure","Microsoft.OffAzure",""
"Microsoft.OpenEnergyPlatform","Microsoft.OpenEnergyPlatform",""
"Microsoft.OpenLogisticsPlatform","Microsoft.OpenLogisticsPlatform",""
"Microsoft.Peering","Microsoft.Peering",""
"Microsoft.PlayFab","Microsoft.PlayFab",""
"Microsoft.PowerBI","Microsoft.PowerBI",""
"Microsoft.Quantum","Microsoft.Quantum",""
"Microsoft.Quota","Microsoft.Quota",""
"Microsoft.RecommendationsService","Microsoft.RecommendationsService",""
"Microsoft.RecoveryServices","Microsoft.RecoveryServices",""
"Microsoft.Scom","Microsoft.Scom",""
"microsoft.scvmm","microsoft.scvmm",""
"Microsoft.SerialConsole","Microsoft.SerialConsole",""
"Microsoft.ServiceLinker","Microsoft.ServiceLinker",""
"Microsoft.ServicesHub","Microsoft.ServicesHub",""
"Microsoft.SignalRService","Microsoft.SignalRService",""
"Microsoft.SoftwarePlan","Microsoft.SoftwarePlan",""
"microsoft.storagesync","microsoft.storagesync",""
"Microsoft.TestBase","Microsoft.TestBase",""
"Microsoft.VideoIndexer","Microsoft.VideoIndexer",""
"microsoft.vmware","microsoft.vmware",""
"Microsoft.VSOnline","Microsoft.VSOnline",""
"Microsoft.WindowsESU","Microsoft.WindowsESU",""
"Microsoft.WindowsIoT","Microsoft.WindowsIoT",""
"Microsoft.WorkloadBuilder","Microsoft.WorkloadBuilder",""
"Microsoft.WorkloadMonitor","Microsoft.WorkloadMonitor",""
"Microsoft.Workloads","Microsoft.Workloads",""
"NGINX.NGINXPLUS","NGINX.NGINXPLUS",""
"Orbital Resource Provider","Microsoft.Orbital",""
"Paraleap Technologies CloudMonix","paraleap.cloudmonix",""
"Pokitdok.Platform","Pokitdok.Platform",""
"RavenHq Db","RavenHq.Db",""
"Raygun Crash Reporting","Raygun.CrashReporting",""
"SendGrid Email Delivery.","Sendgrid.Email",""
"Virtual Machine Image Builder","Microsoft.VirtualMachineImages",""
"Visual Studio","Microsoft.VisualStudio",""
"VMware Solution by CloudSimple","Microsoft.VMwareCloudSimple",""
"Wandisco.Fusion","Wandisco.Fusion",""
